Trial,Bits,Density,Type,Time_ms,Nodes,Status
1,20,1.700,Random,0.282,52447,YES
2,20,1.700,Random,0.649,120372,YES
3,20,1.700,Random,0.412,77588,YES
4,20,1.700,Random,5.290,1087932,YES
5,20,1.700,Random,2.471,492446,YES
6,20,1.700,Random,0.045,7151,YES
7,20,1.700,Random,0.044,7321,YES
8,20,1.700,Random,0.085,14102,YES
9,20,1.700,Random,1.475,245093,YES
10,20,1.700,Random,0.534,88309,YES
11,20,1.700,Random,1.414,234128,YES
12,20,1.700,Random,1.350,223702,YES
13,20,1.700,Random,1.572,260288,YES
14,20,1.700,Random,0.086,15471,YES
15,20,1.700,Random,0.172,34290,YES
16,20,1.700,Random,5.341,1089322,YES
17,20,1.700,Random,0.303,61097,YES
18,20,1.700,Random,0.076,15086,YES
19,20,1.700,Random,0.254,61043,YES
20,20,1.700,Random,1.626,387480,YES
21,20,1.700,Random,0.121,28045,YES
22,20,1.700,Random,1.530,365532,YES
23,20,1.700,Random,0.109,25632,YES
24,20,1.700,Random,0.174,41114,YES
25,20,1.700,Random,1.779,424077,YES
26,20,1.700,Random,3.336,826931,YES
27,20,1.700,Random,1.119,306081,YES
28,20,1.700,Random,0.664,182385,YES
29,20,1.700,Random,0.686,187926,YES
30,20,1.700,Random,0.214,59580,YES
31,20,1.700,Random,0.202,53875,YES
32,20,1.700,Random,2.132,582037,YES
33,20,1.700,Random,0.156,42627,YES
34,20,1.700,Random,1.751,482948,YES
35,20,1.700,Random,0.175,44347,YES
36,20,1.700,Random,0.125,33604,YES
37,20,1.700,Random,0.514,139374,YES
38,20,1.700,Random,0.918,250374,YES
39,20,1.700,Random,0.440,119860,YES
40,20,1.700,Random,0.151,40712,YES
41,20,1.700,Random,0.137,36127,YES
42,20,1.700,Random,0.025,6742,YES
43,20,1.700,Random,0.079,21442,YES
44,20,1.700,Random,0.034,9164,YES
45,20,1.700,Random,0.588,159476,YES
46,20,1.700,Random,0.070,18919,YES
47,20,1.700,Random,0.400,109547,YES
